"customer_id","first_name","last_name","email","phone","city","postal_code","registration_date","marketing_channel","loyalty_member","birth_date"
3,Szymon,Dyś,szymon.dyś@gmail.com,+48379669573,Toruń,"02-367","2025-10-16",Google Ads,false,1997-06-19
1,Gaja,Minkiewicz,gaja.minkiewicz@gmail.com,+48851171872,Warszawa,"36-880","2026-02-20",Google Ads,false,2007-10-01
2,Adrian,Dziduch,adrian.dziduch@gmail.com,+48756927003,Wrocław,"33-818","2025-10-03",Influencer,false,1964-11-04
4,Marek,Myk,marek.myk@wp.pl,+48503449894,Poznań,"42-017","2024-11-25",Google Ads,false,1964-10-30
5,Mikołaj,Cyganik,mikołaj.cyganik@gmail.com,+48813489192,Warszawa,"95-432","2024-11-11",Meta Ads,true,1983-06-24
7,Tola,Kandzia,tola.kandzia@wp.pl,+48403166411,Łódź,"58-516","2025-02-23",Meta Ads,false,1967-05-03
8,Aleksander,Białasik,aleksander.białasik@gmail.com,+48969969423,Olsztyn,"85-534","2024-09-11",Newsletter,false,1971-08-01
9,Antoni,Surdyk,antoni.surdyk@onet.pl,+48844050760,Łódź,"62-868","2025-12-31",Referral,true,1976-11-17
18,Urszula,Lelonek,urszula.lelonek@gmail.com,+48449672131,Poznań,"13-321","2026-08-06",Google Ads,false,1978-03-19
19,Juliusz,Maszczyk,juliusz.maszczyk@gmail.com,+48306582532,Leszno,"20-704","2025-06-24",Google Ads,false,2004-07-07
117,Mieszko,Gębura,mieszko.gębura@gmail.com,+48577561561,Warszawa,"94-673","2025-04-08",Meta Ads,false,1988-11-22
119,Maks,Szatko,maks.szatko@o2.pl,+48115923472,Warszawa,"44-834","2025-11-24",Google Ads,false,1989-08-30
1270,Rafał,Harasimiuk,rafał.harasimiuk@o2.pl,+48770484539,Częstochowa,"90-400","2025-04-22",Influencer,false,2003-02-09
1272,Rafał,Gągała,rafał.gągała@gmail.com,+48917228308,Warszawa,"05-198","2024-09-10",Organic,true,1956-12-09
647,Rafał,Wożniak,rafał.wożniak@wp.pl,+48873305543,Łódź,"87-005","2025-04-01",Newsletter,false,1988-10-23
1273,Tola,Kurc,tola.kurc@wp.pl,+48878620763,Warszawa,"63-399","2025-10-25",Meta Ads,false,1958-12-07
1274,Rozalia,Apostel,rozalia.apostel@gmail.com,+48064983150,Gdańsk,"40-512","2026-02-17",Google Ads,true,1983-11-23
661,Marcin,Fronczek,marcin.fronczek@gmail.com,+48059338771,Łódź,"89-703","2025-04-30",Organic,false,1989-01-01
1275,Aniela,Szybiak,aniela.szybiak@onet.pl,+48060882564,Gdańsk,"05-348","2025-09-20",Meta Ads,false,1958-07-26
664,Paweł,Gumuła,paweł.gumuła@wp.pl,+48737534986,Łódź,"93-633","2024-10-24",Meta Ads,false,1961-11-01
1236,Adrianna,Nogieć,adrianna.nogieć@gmail.com,+48014274362,Warszawa,do weryf,"2025-04-01",Influencer,true,2006-07-27
1240,Kamila,Bazyluk,kamila.bazyluk@o2.pl,+48852026676,Warszawa,do weryf,"2025-09-12",Meta Ads,false,1995-04-19
1246,Gaja,Styn,gaja.styn@gmail.com,+48775126973,Gdynia,do weryf,"2024-10-25",Google Ads,true,1987-05-13
1266,Maurycy,Borkiewicz,maurycy.borkiewicz@interia.pl,+48565474718,Szczecin,do weryf,"2025-02-14",Organic,true,1976-10-29
1283,Tola,Morys,tola.morys@gmail.com,+48268630359,Warszawa,"14-117","2024-12-20",Meta Ads,false,1981-12-11
