customer_id,first_name,last_name,email,phone,city,postal_code,registration_date,marketing_channel,loyalty_member,birth_date
1,Gaja,Minkiewicz,gaja.minkiewicz@gmail.com,+48 851 171 872,Warszawa,36-880,2026-02-20,Google Ads,False,2007-10-01
2,Adrian,Dziduch,adrian.dziduch@gmail.com,756927003,Wrocław,33-818,2025-10-03,Influencer,False,1964-11-04
3,Szymon,Dyś,szymon.dyś@gmail.com,379-669-573,Toruń,02-367,2025-10-16,Google Ads,False,1997-06-19
4,Marek,Myk,marek.myk@wp.pl,+48 503 449 894,Poznań,42-017,2024-11-25,Google Ads,False,1964-10-30
5,Mikołaj,Cyganik,mikołaj.cyganik@gmail.com,813489192,Warszawa,95-432,2024-11-11,Meta Ads,True,1983-06-24
6,Wiktor,Teodorowicz,wiktor.teodorowicz@gmail.com,,Bydgoszcz,58-797,2025-09-16,Newsletter,False,1974-10-13
7,Tola,Kandzia,tola.kandzia@wp.pl,403-166-411,Łódź,58-516,2025-02-23,Meta Ads,False,1967-05-03
8,Aleksander,Białasik,ALEKSANDER.BIAŁASIK@GMAIL.COM,969-969-423,Olsztyn,85-534,2024-09-11,Newsletter,False,1971-08-01
9,Antoni,Surdyk,antoni.surdyk@onet.pl,+48 844 050 760,Łódź,62-868,2025-12-31,Referral,True,1976-11-17
10,Dominik,Glenc,dominik.glenc@gmail.com,218 026 384,Toruń,92-932,2024-09-16,Google Ads,False,1979-02-07
11,Maksymilian,Macek,maksymilian.macek@gmail.com,+48 951 771 727,Elbląg,78-152,2025-11-10,Meta Ads,True,1959-01-28
12,Jacek,Zębik, jacek.zębik@gmail.com ,+48 379 431 439,Wrocław,82-600,2025-10-15,Google Ads,True,1984-08-28
13,Arkadiusz,Kasak,arkadiusz.kasak@gmail.com,853-375-663,Warszawa,77-544,2026-07-21,Google Ads,False,1971-03-23
14,Dorota,Świerad,dorota.świerad@gmail.com,710-015-927,Białystok,56-102,2025-08-25,Meta Ads,False,1997-08-18
15,Oliwier,Piotrkowicz,oliwier.piotrkowicz@gmail.com,,Szczecin,84-667,2024-10-08,Organic,True,2002-02-11
16,Bianka,Jakubiuk,bianka.jakubiuk@interia.pl,+48 853 760 746,Łódź,28-441,2025-10-19,Meta Ads,True,1979-07-12
17,Olaf,Rzeszut, olaf.rzeszut@wp.pl ,+48 381 259 725,Gdynia,44-848,2026-04-20,Meta Ads,False,1979-08-19
18,Urszula,Lelonek,urszula.lelonek@gmail.com,449 672 131,Poznań,13-321,2026-08-06,Google Ads,False,1978-03-19
19,Juliusz,Maszczyk,juliusz.maszczyk@gmail.com,306 582 532,Leszno,20-704,2025-06-24,Google Ads,False,2004-07-07
20,Krzysztof,Łodyga,krzysztof.łodyga@gmail.com,452982688,Kielce,11-096,2025-03-30,Meta Ads,False,1978-06-26
21,Mariusz,Kolek,mariusz.kolek@onet.pl,021480407,Gdańsk,17-570,2026-05-30,Meta Ads,True,1958-10-10
22,Melania,Mordal,melania.mordal@interia.pl,891174862,Opole,43-687,2024-12-24,Influencer,True,1962-01-27
23,Maks,Czerniakiewicz,maks.czerniakiewicz@gmail.com,+48 849 500 722,Warszaw,86-964,2025-11-22,Meta Ads,False,1995-05-12
24,Mikołaj,Puła,mikołaj.puła@gmail.com,905-857-777,Kraków,77-320,2025-05-15,Organic,False,1974-03-26
25,Aurelia,Kierat,aurelia.kierat@o2.pl,+48 536 453 971,Gdańsk,28-159,2024-10-31,Google Ads,True,1990-05-27
26,Artur,Jachimczak,artur.jachimczak@gmail.com,478 105 865,Łódź,14-359,2025-04-27,Meta Ads,False,2000-05-26
27,Leonard,Kaźmierczyk,leonard.kaźmierczyk@gmail.com,955-525-976,Bydgoszcz,98-286,2025-02-27,Google Ads,False,1986-01-09
28,Marianna,Szylar,marianna.szylar@wp.pl,576926167,Bydgoszcz,72-998,2025-12-26,Meta Ads,False,1996-04-08
29,Dagmara,Kwasek,dagmara.kwasek@onet.pl,,Warszawa,78-952,2026-07-04,Google Ads,False,1990-06-17
